artist_name,track_name,track_id,album_id,artist_id,track_popularity,artist_popularity,artist_genre,duration_ms,release_date,release_date_precision
Incognito,Feels So Good,00nPra9wgQ7D3hW8lErO8a,1gcxfIY8oeRYr203cTsjVP,5moJNCJeiNwuQAhDLJXULs,20,47,"['brit funk', 'modern funk']",281893,2021-11-19,day
Ryan Castro,Mujeriego,78kygHp1dvW1kncYjBgbe1,43sxUsU622oLloqafw61vN,7j6DKwmjbxvpQO8h914uEz,84,76,['trap colombiano'],142500,2021-12-17,day
Zornik,"Scared of Yourself (Live at Ancienne Belgique, Brussels, 20/11/2021)",6qERUhP9q2WKIuYaehPQDY,3ghSErLw1qVy4HY4vNydl2,05khYC2X2kbHqWqD7aYB3c,15,35,['belgian rock'],512021,2022-01-17,day
Juice WRLD,Bad Boy (with Young Thug),43CIWpJaJHRcI4mUSjqgc2,5hUFZjxtqYvxm9FGUhHCdE,4MCBfE4596Uoi2O4DtmEMz,73,88,"['chicago rap', 'melodic rap']",157355,2021-01-15,day
Simon Doty,Solaris - Mixed,7LpOX8Q3DEN39Qu6R6cD6V,3zIUPOvazNB5crfiDdXcwq,0NznnEmGCRqungT5a57GG3,16,37,"['funky tech house', 'progressive house']",399064,2021-12-17,day
Lil Baby,Hats Off (feat. Travis Scott),4lUmnwRybYH7mMzf16xB0y,6CvBb1XqN0igtQrWrbXD80,5f7VJjfbwm532GiveGC0ZK,73,87,"['atl hip hop', 'atl trap', 'rap', 'trap']",257428,2021-06-04,day
Matt Fax,Found (Year in Review 2021),3Oc1JyV0cl4UyAX0BExE2v,5zws4sXAIs0rgPEismc2nE,1XgI1X3xjXCKRP1ZjhqgkV,10,45,"['edm', 'progressive house', 'progressive trance', 'progressive trance house']",154838,2021-12-31,day
Ryan Mack,Overwhelmed (Ryan Mack Remix),03eyNjBM2mpx28H6kdaufN,2TrwVayZ9oD42PkEI9Nk5Q,5LGo1zHegJTWzqVXgeNplt,77,60,"['alt z', 'irish pop']",103240,2021-07-14,day
Hard Men Working Hard,Apologise,4NdS8dqs59P7w7l3w6kS0r,2SM82zyjPb8NnBrK1IF1i4,1hoEcGDMtO6zhujNn7RRUu,11,11,[],295652,2022-02-11,day
Sarah Cothran,As the World Caves In,2xXNLutYAOELYVObYb1C1S,0RiimwsSMUsxrBu0RsyuRH,3kft86DbqCNr7rjq3pEj0G,77,60,['gen z singer-songwriter'],161612,2021-06-10,day
DRYM,Mirage (ASOT 1047),7EqWtaMICcJlcVaNKGOiwR,6HVBy8FLAoYr6B2pd71n2o,0kDuIuxZhlgE9XYRy6NVSq,21,38,"['progressive house', 'progressive trance', 'trance', 'uplifting trance']",239051,2021-12-16,day
Troye Sivan,Angel Baby,2m6Ko3CY1qXNNja8AlugNc,44CdsgXhU5R2esprq0tf43,3WGpXCj9YhhfX11TToZcXP,84,77,"['australian pop', 'dance pop', 'pop', 'viral pop']",220779,2021-09-09,day
Elvis Costello,Running Out Of Angels - Demo Version,7Iqww8yqJnrvkNdyvKoHg9,1sEzTKLd1Nv2oGndJa1XMD,2BGRfQgtzikz1pzAD0kaEn,11,57,"['art rock', 'folk', 'folk rock', 'mellow gold', 'new wave pop', 'permanent wave', 'power pop', 'pub rock', 'rock', 'roots rock', 'singer-songwriter']",123933,1978-03-17,day
Luis R Conriquez,Me Metí En El Ruedo,7KNSQcLwrl3bNEuV1OVHtv,5WWAwbRCM3CyiZNO9rsfWS,0pePYDrJGk8gqMRbXrLJC8,78,79,"['corrido', 'nueva musica mexicana']",174863,2021-07-30,day
The Chieftains,"The Morning Dew - Live At Massey Hall, Toronto, 1976 / Remastered 2021",7hZrjZ9bZtG22neuEOjnSB,5uEItOPgtRlja2gULx4q7Q,6AnrSlk5Gp1YMXgaI3mWCL,11,45,"['celtic', 'irish folk']",171480,2021-11-12,day
Cochise,POCKET ROCKET,1FKG2wgJ75wS9MFNVZFiWd,2wq6cnNKGy6tP5c5ow5Uo8,46HzS7yz0c9udVwtbHk1sx,75,69,"['plugg', 'pluggnb']",131500,2021-08-20,day
Loud Luxury,Red Handed (Mixed),03hd3DP2z9jbXr2RtbBT2z,7uF16JVelqe9okxYE6JCje,6t1gpxYbY8OlLA7D2RiikQ,12,66,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'tropical house']",96007,2021-12-24,day
Thomas Rhett,Slow Down Summer,1fff5nZGyRJtFLkOrSSwOU,6uWWkRv3qKdFcFyayL1Vw4,6x2LnllRG5uGarZMsD4iO8,70,74,"['contemporary country', 'country', 'country road', 'modern country rock']",216764,2021-11-05,day
Jerro,Go Back Now - Mixed,6SXNdL4JUljwHzeK6KuxN2,3zIUPOvazNB5crfiDdXcwq,1WHFu22zN1C6F11Z1rt12K,17,53,['tropical house'],383793,2021-12-17,day
Los Del Limit,Amor Fugaz,4O2bxKTnK9En7OPw8kGDDF,7hnH4pDgMDP4veSuZ7Uxlz,4pQxRQ2bUyVpk89wzztCLw,76,64,"['corrido', 'corridos tumbados', 'nueva musica mexicana']",175124,2021-05-28,day
Elvis Costello & The Attractions,Big Tears - 2021 Remaster,5zIXVqJifYPQrom15l3eI3,1sEzTKLd1Nv2oGndJa1XMD,4qmHkMxr6pTWh5Zo74odpH,8,54,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock']",191106,1978-03-17,day
Morgan Wallen,Dangerous,1MX19fnaW1OUQoglWTYaOo,6JlCkqkqobGirPsaleJpFr,4oUHIQIBe0LHzYfvXNW4QM,70,83,['contemporary country'],147893,2021-01-08,day
Alan Fitzpatrick,W.A.I.S.T.D. - Mixed,6a5RzwSXWUeubLxhR572q8,3zIUPOvazNB5crfiDdXcwq,40JyDxGqtYSowWYT2jaive,15,47,"['house', 'minimal techno', 'tech house', 'techno']",250654,2021-12-17,day
Young Stoner Life,Ski,6755DFiZ7CWe2WMdTGW5C1,3ihwKkIMJWmmp1huNH0iWC,1xr2G8Hlx4QWmT9HaUbmoO,72,66,"['hip hop', 'rap', 'trap']",152333,2021-04-16,day
Richie Blacker,2 Late 4 Love - Mixed,6L84VE3gjh6qOY2RPh7TDb,3zIUPOvazNB5crfiDdXcwq,1ZcjObwclhycsS6bdN2Kgn,16,29,[],359623,2021-12-17,day
mike.,life got crazy,5NXthnJecYXjt7sTEWETTY,2phcfZd44niczjY0xybcS6,5G9kmDLg3OeUyj8KVBLzbu,72,68,"['indie pop rap', 'pop rap', 'rhode island rap']",138928,2021-07-23,day
Zornik,"You Move Me (Live at Ancienne Belgique, Brussels, 20/11/2021)",7JwJVEmE0F2buYDrvNkBlI,3ghSErLw1qVy4HY4vNydl2,05khYC2X2kbHqWqD7aYB3c,14,35,['belgian rock'],344895,2022-01-17,day
NIKI,Every Summertime,68HocO7fx9z0MgDU0ZPHro,2HPj0XZe9WduSsyKTQqgVa,2kxP07DLgs4xlWz8YHlvfh,83,72,"['indonesian r&b', 'pop']",215686,2021-08-10,day
Elvis Costello & The Attractions,Living In Paradise - 2021 Remaster,6NEXLsJqie5XlZucXtiwxO,1sEzTKLd1Nv2oGndJa1XMD,4qmHkMxr6pTWh5Zo74odpH,9,54,"['art rock', 'folk rock', 'mellow gold', 'new wave pop', 'power pop', 'pub rock', 'rock']",227080,1978-03-17,day
Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",7ACW7VpgoKmfM1sKo15UhX,338LPt19lJ2GiGmxDSOAtR,0Njy6yR9LykNKYg9yE23QN,71,68,"['florida rap', 'trap']",279573,2021-12-03,day
The Chieftains,Brian Boru's March - Remastered 2021,0B4OZbYjxmDPi3Ar5lRim8,5uEItOPgtRlja2gULx4q7Q,6AnrSlk5Gp1YMXgaI3mWCL,10,45,"['celtic', 'irish folk']",192440,2021-11-12,day
BoyWithUke,Two Moons,5GxUKIEkMXXZo1Tif0IzfC,0NzheutoSuzfMlENTnHTQl,1Cd373x8qzC7SNUg5IToqp,77,77,[],224747,2021-06-04,day
Hard Men Working Hard,The Pump,2cOjw8MwkF3DL5igZjK8QH,2SM82zyjPb8NnBrK1IF1i4,1hoEcGDMtO6zhujNn7RRUu,12,11,[],224937,2022-02-11,day
Grupo Los de la O,Fuga Pa Cali 2,5IdyvWCaUa7AgTxMsFj0wB,2diC6yg6Uf2W5eodLX8sMY,1glBi4zyzqaSQoy8ReU0rz,82,69,"['corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'nueva musica mexicana']",196864,2021-11-12,day
Luiz Bonfá,"Jazzato Twist - From ""Le ore dell'amore"" / Remastered 2021",4jsVkPEea16ZDODlYNXVVA,4lb6pptkEBitDpwP5QCGs1,174ThXFgQg2VCq9r3m8ceb,12,52,"['bossa nova', 'brazilian jazz', 'jazz guitar', 'samba-jazz', 'violao']",73230,2022-03-23,day
Taylor Swift,Message In A Bottle (Taylor's Version) (From The Vault),3z6XUommYDWPHeFhmhhT6j,6kZ42qRrzov54LcAk4onW9,06HL4z0CvFAxyc27GXpf02,75,92,['pop'],225960,2021-11-12,day
